SA_SQ_KM,lagoslakei
11.362000000000000,16636
0.092,95867
0.046,82379
0.053,110201
0.044,70882
0.072,38700
0.426,92813
0.099,80312
0.048,58501
0.084,58502
0.072,45056
0.445,23068
0.078,131778
0.051,69883
2.324000000000000,37669
0.045,13598
0.167,7175
0.074,59594
0.257,18762
0.078,36581
0.662,7146
0.093,30343
0.139,125921
0.175,100963
0.098,55397
4.174000000000000,6973
0.045,54459
0.091,29284
0.118,23069
4.599000000000000,7128
5.814000000000000,11562
0.428,46095
0.629,94873
0.177,33445
0.063,96874
0.073,86578
0.172,106127
3.050000000000000,54460
0.041,58504
0.057,104044
0.102,17690
0.047,125922
0.05,136851
0.12,47084
0.163,128613
0.085,35536
0.042,117433
0.991,100964
0.077,54461
0.13,70883
0.054,53427
0.06,107152
0.182,44053
0.295,35537
0.078,116430
0.189,116431
0.156,106128
0.138,85511
0.115,139997
0.128,132781
1.748000000000000,108136
0.063,50254
0.111,52345
0.371,40870
0.058,85512
0.046,133867
0.099,15620
0.633,93853
0.043,102975
0.152,132780
0.434,60551
0.067,117434
0.124,140993
0.063,124857
0.146,9053
0.994,32457
0.579,116432
0.175,138947
0.134,104046
0.055,11563
0.044,44054
1.236000000000000,75019
0.197,132779
0.235,123805
0.172,93854
0.057,133865
0.068,57478
0.196,100965
0.041,130713
0.09,16637
0.085,121718
0.104,119583
0.439,13602
0.091,111252
0.088,10531
0.053,38701
0.065,71873
0.05,69884
0.043,20881
0.045,46097
0.254,80316
0.578,102976
0.057,27255
0.202,120636
0.053,56433
0.06,82382
0.059,120637
0.54,115353
3.573000000000000,126560
12.442000000000000,138946
0.508,70884
0.076,114311
0.131,44055
0.358,136850
0.247,117435
0.106,58505
1.266000000000000,91757
0.159,131777
0.046,26242
0.229,105082
0.094,28217
0.092,54464
1.267000000000000,6432
0.07,32459
0.344,44056
0.31,31434
0.05,121719
0.048,69886
0.073,70885
0.043,19832
0.091,40873
0.215,123806
0.044,104047
0.114,40874
0.052,137951
0.057,47085
0.095,72893
0.28,10532
0.092,134876
0.132,27257
0.191,71874
0.043,119585
0.042,116433
0.101,130712
0.097,36583
0.049,56435
1.146000000000000,140992
0.128,28218
0.085,48162
0.783,92816
0.14,134875
0.061,113298
1.446000000000000,6920
0.287,16639
0.044,29285
0.067,14639
0.215,64775
0.045,48163
0.091,32460
0.137,122749
0.081,51300
1.351000000000000,6425
0.041,134874
1.353000000000000,7093
0.465,47086
0.108,115354
0.227,37671
1.748000000000000,18765
0.046,85513
0.081,41980
1.272000000000000,65789
0.111,89755
0.056,116434
0.065,85514
0.237,50256
0.047,13605
0.061,23071
0.086,133864
0.274,105083
0.07,41982
0.777,77120
16.867000000000001,132776
1.425000000000000,45059
0.085,10533
1.625000000000000,76084
0.056,58506
0.313,68823
0.111,94875
0.128,26245
0.14,111254
0.049,46098
0.079,102978
0.161,128610
0.056,60552
0.051,14641
0.246,73980
0.333,129666
0.121,127588
0.046,18767
0.051,129665
0.068,136849
0.055,131776
0.295,108137
0.072,39797
0.447,137949
0.073,136848
0.436,136847
0.188,31435
0.487,6434
0.388,23072
0.047,75024
0.049,127587
0.578,6721
0.09,78197
0.092,89756
0.076,87661
0.071,136846
0.088,89757
0.279,46099
0.805,35539
25.225000000000001,67847
0.078,32461
0.04,40876
0.06,45061
0.064,13606
3.617000000000000,108138
1.610000000000000,77121
0.196,7124
0.062,128609
0.07,96876
0.067,37672
0.071,112333
0.918,39798
0.09,52347
2.228000000000000,92818
0.059,55399
0.063,113299
0.435,104050
0.196,72895
0.163,80319
0.079,25189
0.474,24160
0.077,97964
2.086000000000000,23075
0.042,93857
0.048,25190
0.046,93858
0.043,108139
0.086,113300
0.064,139995
0.645,69888
0.213,112334
0.045,125926
0.062,57481
0.044,52348
0.102,80320
0.128,80321
0.057,27261
0.076,31436
0.386,63726
0.565,110206
0.724,114314
0.095,10535
0.27,36584
0.074,24161
0.109,61588
0.117,68824
0.048,92819
0.052,32462
0.075,53430
0.116,111255
1.005000000000000,7145
0.047,91759
0.304,116436
0.972,90753
0.045,56437
0.092,82385
0.108,71875
0.429,68825
0.073,26246
0.049,88707
0.074,131775
0.378,131774
0.102,81340
0.078,78198
0.11,18770
0.067,60554
0.062,20883
0.072,72897
0.329,14643
0.172,10536
0.045,10537
0.128,61589
0.115,123809
1.764000000000000,7304
0.546,39801
0.173,57483
0.129,138941
0.048,54466
0.055,130709
0.061,63727
0.591,53431
0.045,91761
0.079,99961
0.065,58508
0.059,60555
0.056,30347
0.055,112335
0.056,114315
0.08,71876
0.063,79278
0.059,125927
0.337,53432
0.334,59595
0.094,94879
0.095,65791
0.043,65792
0.187,104053
1.629000000000000,137948
0.403,93860
0.043,48168
0.18,92821
0.115,20884
0.049,35541
0.042,139994
0.164,96878
0.189,39802
0.043,21983
0.064,117438
0.154,112336
0.576,44060
0.059,97965
0.07,102980
21.754999999999999,73981
0.116,123810
0.125,99962
0.04,27263
0.523,44061
0.2,67849
0.947,127585
0.127,131773
0.377,69891
0.177,76086
0.118,83458
4.991000000000000,19834
0.049,91762
0.072,70887
0.084,13607
0.043,77123
0.108,46100
0.044,52350
0.319,62627
0.057,129664
0.32,104054
0.058,86582
2.898000000000000,117439
31.792000000000002,6404
5.730000000000000,6514
0.605,102981
0.183,118532
0.076,136845
27.959000000000000,75026
0.606,118533
0.041,123811
0.748,129663
3.156000000000000,119586
1.892000000000000,7073
2.582000000000000,94880
0.077,43043
0.058,118534
0.358,30348
0.151,53433
3.655000000000000,47088
0.182,138940
0.058,67850
0.066,46101
0.129,89760
0.05,107158
2.733000000000000,135886
0.538,84535
0.296,102001
0.865,46102
0.108,44062
0.158,58509
0.08,78204
0.16,37678
0.067,53438
0.061,35548
0.151,45064
0.049,95879
0.159,6406
0.069,89764
0.272,35544
0.045,133858
1.326000000000000,6413
0.056,25193
0.127,39807
0.055,95877
0.07,53436
0.101,82387
0.236,20890
0.088,23081
0.474,49200
0.212,60558
0.406,104061
0.106,37680
0.211,30349
0.066,40883
115.584999999999994,6420
0.085,102004
0.122,25199
0.189,124863
0.121,12607
0.147,94881
0.051,66822
0.08,126558
0.043,47092
0.043,27264
2.618000000000000,6439
0.279,118538
0.301,137943
0.069,35550
0.273,11570
0.082,63732
0.041,96888
1.539000000000000,90768
1.439000000000000,106137
0.07,96883
0.287,12604
0.074,128603
0.04,64780
0.058,69898
0.059,58516
0.652,64781
0.605,76090
0.453,63735
0.471,85520
0.049,67854
1.816000000000000,32463
0.074,88715
0.255,79287
0.298,45067
0.229,100975
0.1,84539
0.66,58513
3.249000000000000,7256
0.048,123821
0.329,61595
0.079,28225
0.571,38707
0.297,18774
0.082,99969
0.06,39809
0.094,88718
4.485000000000000,6411
0.056,57489
0.271,60561
1.835000000000000,27265
0.503,32464
0.057,100970
0.05,97970
0.297,20895
0.236,53443
0.067,75031
0.089,66826
0.049,49198
0.089,62633
0.137,30350
0.219,96884
0.071,9050
0.103,79285
0.505,6493
0.1,106139
5.011000000000000,81
0.04,18775
0.094,63733
1.143000000000000,6907
0.077,137940
0.165,50261
7.466000000000000,131768
0.061,115361
0.046,58514
0.155,132769
0.139,25197
0.072,94887
0.261,39816
0.053,134865
0.061,127579
0.452,57490
0.944,113308
0.048,129660
0.042,20897
0.08,75034
6.541000000000000,104063
1.311000000000000,96885
0.177,69901
0.053,80326
0.144,64787
0.074,100972
0.102,112342
0.222,137939
0.132,78208
0.175,61593
0.06,38711
7.974000000000000,7119
3.059000000000000,83464
0.053,92833
0.054,30351
0.137,55409
0.857,18776
5.726000000000000,134864
0.537,19839
0.144,122758
0.61,48173
0.186,73992
0.066,59601
0.593,83466
0.081,124866
0.88,6415
0.463,75032
0.044,14650
0.99,52357
0.092,15644
0.057,78211
0.132,126552
0.3,130705
0.056,105088
0.356,54470
0.052,38709
0.07,112346
1.871000000000000,89770
0.046,39812
0.048,118545
0.106,102986
0.04,83469
0.053,125934
0.229,43047
3.580000000000000,58519
0.059,64789
0.413,100979
0.097,125937
0.114,137938
0.118,33454
0.076,110303
0.165,107169
0.06,140988
0.077,80328
0.235,72905
0.079,83467
0.058,112348
0.133,78209
0.052,110212
0.222,17703
0.18,100977
0.172,15634
0.054,111262
8.705000000000000,48175
0.048,58517
0.049,110213
0.421,27270
1.046000000000000,88720
1.724000000000000,41991
0.044,21993
0.054,25201
1.256000000000000,134863
0.065,102009
0.717,19841
0.203,111370
0.097,129658
0.091,15635
0.06,40891
0.724,43050
0.103,133851
0.19,53440
0.042,36592
0.101,77137
0.151,16652
0.054,23085
1.496000000000000,60565
0.173,7243
0.117,14653
0.056,15637
0.183,126550
0.4,108146
0.046,102988
0.417,40894
0.116,19871
0.343,102011
1.527000000000000,6426
0.041,137935
0.105,62636
0.255,89772
0.07,126549
0.04,75038
0.058,137934
1.393000000000000,32472
0.495,59604
0.187,127575
0.12,100991
0.115,64791
0.065,69906
0.061,120649
1.203000000000000,131763
0.658,125935
0.135,112350
0.111,116445
0.346,128600
0.065,84544
1.146000000000000,27272
0.078,122765
0.169,26259
0.176,97975
0.046,59630
0.3,249
0.224,90761
0.058,122772
0.083,14662
0.054,122766
0.093,140987
0.15,129656
0.112,137933
0.058,37691
0.114,139986
0.07,43054
0.082,79289
0.501,17705
0.06,36596
0.095,129655
0.093,28264
0.084,27276
0.582,139985
0.098,129654
1.511000000000000,114323
0.059,30356
0.171,129653
0.08,110215
2.004000000000000,134860
0.085,119593
0.071,89776
0.807,39916
0.044,18788
0.303,34507
0.062,110216
0.4,6584
0.051,41996
0.234,121728
0.065,94889
0.079,132762
0.098,100980
0.226,53520
0.183,95888
0.073,42000
0.041,31450
0.049,77139
0.152,34517
0.058,123825
0.05,73999
0.04,77150
0.055,106166
0.097,30360
0.048,17713
0.047,12613
0.974,6879
0.086,50266
0.051,29305
0.054,23088
0.058,78219
0.052,51393
0.049,63738
0.06,87670
0.076,61608
0.058,139981
0.054,21995
0.077,138932
0.095,77143
0.086,87672
0.069,24173
0.131,109262
0.161,28244
0.081,76167
0.049,100982
53.838000000000001,81353
0.125,36603
0.072,18791
0.12,131760
0.055,49202
0.078,119598
0.183,93875
0.107,90764
0.44,65802
0.154,71885
1.249000000000000,6408
0.055,126545
0.07,57505
0.066,20903
0.077,32476
1.108000000000000,76101
0.069,82403
0.055,87677
0.05,55416
0.108,34511
0.075,139978
0.04,45076
0.042,20905
0.156,125940
0.118,84630
0.107,102012
0.046,84547
0.052,75043
0.04,72913
0.074,56457
0.087,80333
0.081,85534
0.19,113318
0.054,136832
0.171,15643
0.158,103001
0.046,34512
0.119,60571
0.07,38719
0.103,54479
0.198,25210
0.041,65804
0.811,51319
0.198,16661
0.553,92839
0.188,19849
0.079,83474
0.638,31463
0.094,29302
0.071,68841
0.191,34515
0.087,49206
0.269,53449
1.878000000000000,6419
