SA_SQ_KM,lagoslakei
0.132,94571
0.063,40560
0.05,40561
0.048,133085
0.073,22776
0.041,37368
1.668000000000000,7039
0.431,44792
0.054,58231
0.144,132058
0.112,17402
0.053,36269
0.058,33164
0.104,118192
0.491,54141
0.14,86284
0.16,90478
0.148,23861
0.203,65482
0.097,87354
0.07,27930
0.043,93564
0.061,89454
0.105,118193
15.266000000000000,6543
0.324,126841
0.073,17403
0.052,134148
0.454,32188
0.339,6898
0.759,42725
0.243,118194
0.08,71590
0.483,13290
0.589,80008
0.054,137155
0.042,97639
0.059,39485
0.128,133084
0.391,131019
1.064000000000000,23862
0.057,10232
0.194,106848
0.06,138242
0.146,58232
0.067,97640
0.14,31107
0.06,131018
0.046,40562
0.042,49937
0.241,92518
0.206,80009
0.849,55143
0.047,108894
0.046,132057
0.108,120363
0.054,128914
0.099,14326
0.087,110977
0.184,62328
0.462,7137
0.13,38405
0.066,23863
0.138,39487
0.053,74711
0.06,80010
0.044,98664
0.074,128913
0.045,114004
0.124,120364
0.056,43757
0.12,101696
0.079,113045
0.136,108895
0.205,140303
0.061,11251
0.056,95571
0.05,89456
0.236,46801
0.047,7149
0.079,63421
1.263000000000000,7351
0.295,11252
0.095,66524
0.058,40563
0.765,43758
0.084,47852
0.053,67565
0.133,52054
0.064,31110
0.098,75782
0.047,56143
0.107,30044
0.069,101697
0.111,13292
0.14,33166
0.177,22778
0.041,59280
0.044,39488
0.079,11253
0.983,7150
0.056,75783
0.42,7104
0.358,31111
0.309,81028
1.902000000000000,73662
0.042,22779
0.049,141268
0.29,113994
0.111,135192
0.229,74713
0.097,40564
0.053,57166
0.044,101698
0.058,34197
8.933000000000000,12290
0.042,100660
0.048,66525
0.483,133082
0.046,99672
0.142,32190
0.052,74714
0.718,46802
0.242,25930
0.06,123528
0.074,139245
0.105,59281
0.193,89458
0.131,14327
0.15,107853
0.098,101699
0.073,30045
0.055,20603
0.142,34198
0.058,118199
0.065,79012
0.782,28990
0.054,141266
0.281,61297
0.075,26976
0.044,102697
0.209,76822
0.17,52056
0.04,127865
0.061,80012
0.051,35233
0.047,128908
0.136,66527
0.041,37369
0.555,7173
0.242,123529
0.047,58234
5.347000000000000,13293
0.283,58235
0.134,122472
0.123,97641
0.079,28993
0.677,55144
0.079,140301
0.061,61298
0.127,140300
0.146,28994
0.048,10237
20.893000000000001,39489
0.061,13294
0.513,96598
0.059,99673
0.052,71591
0.055,92521
0.077,123530
0.115,56145
0.092,92522
0.079,98667
0.06,54145
0.073,84233
0.288,12291
0.076,76823
0.084,45785
3.338000000000000,140299
0.077,86288
0.283,135191
0.166,68565
0.072,35234
0.095,82081
0.182,69576
0.053,61299
0.143,138238
0.048,139244
0.05,75785
0.064,106849
0.182,40565
0.043,101701
0.051,22780
0.316,81032
0.565,16358
0.044,112016
0.082,79010
0.047,131016
0.09,112017
0.30985786,119265
4.691199280000000,49938
0.07859446,132053
0.04628223,95573
0.28357054,84234
0.04449349,42727
0.04245796,13296
0.05845473,93571
0.07317456,77874
0.04921586,22781
0.04340409,75786
0.0652023,43761
0.47889648,92523
0.08092284,122477
0.11959107,98668
0.04680979,50998
0.04780557,23865
0.11452287,54146
0.089908,49941
0.09488042,9380
0.06289419,112018
0.04503167,24879
0.0931169,23866
0.07982427,80013
0.17233194,94581
0.09392911,59284
0.06891175,59285
0.0435716,107857
0.11626146,109925
0.07413421,23867
0.12858676,91505
0.04016397,31117
0.0734811,58237
0.10586182,89462
0.13382035,77875
0.06195367,79013
0.05774092,113050
0.04395564,66529
0.07197661,107858
0.04045848,27934
0.12958656,77877
0.12166941,14331
0.15259443,74719
0.06738776,76826
1.500002590000000,110982
0.1109812,32192
0.05258245,125638
0.0853527,118203
0.17424865,6910
0.04825131,54148
0.06286179,50995
0.2067888,141264
0.17495372,72614
0.06730781,81036
0.06471553,21669
0.04695699,115072
0.06427705,44795
0.08724751,120368
0.25057736,105867
0.32851949,95575
0.34432252,117167
0.28776645,135188
0.07580052,10239
0.07116146,119267
0.08689375,21670
0.84882764,118204
0.05477728,101705
0.04984172,66532
0.07093333,72615
0.0533341,105868
0.13117522,105869
2.124710800000000,6889
1.697412790000000,84235
0.68521038,36273
1.787725230000000,6499
0.49036169,105870
0.3619099,95577
0.09783966,68569
0.13451444,92524
0.05686765,56146
0.41762246,137147
0.04328945,107859
0.47431095,94582
0.33478,140296
17.227816330000000,7151
1.712102610000000,6506
1.475580750000000,43764
0.27260217,98671
6.160365040000000,6788
0.06606442,10240
1.780191730000000,69578
0.07145607,53130
1.811612860000000,7135
2.146115630000000,46805
3.784141820000000,6559
18.926489210000000,92525
0.04188279,88422
2.635844260000000,68571
0.27732533,103750
0.81155768,115073
1.797311840000000,75787
0.06754503,125640
0.05540431,15346
0.04316674,115074
0.1882207,132050
0.15135352,80016
0.08470567,94583
0.05876546,84236
0.04211131,68572
0.04740981,57173
0.04780053,72616
0.10990293,107860
0.04051114,46806
0.07504006,40569
0.04921752,88423
0.16930089,14333
0.04040819,38409
0.07177686,28997
0.18036826,53131
0.04747361,123537
0.7545913,121434
0.05737531,97647
0.08266831,26978
0.24924273,67573
0.08291762,141263
1.364159180000000,83144
0.07804475,122475
0.0753789,44796
0.20575593,41689
0.04809573,139243
8.577951160000000,71592
1.495275990000000,6397
2.236896020000000,7169
0.78095205,6673
0.05566187,68579
1.396293690000000,7318
0.11634349,97648
1.154082280000000,80022
6.916435310000000,59287
0.2757649,20605
0.09019432,79015
0.24806907,98692
0.04382514,128903
1.453337160000000,84257
0.05610316,115085
0.39603182,75788
1.426109710000000,64450
1.559541340000000,131013
0.05244739,53133
0.10462813,6501
1.333238320000000,133079
0.0727751,116143
0.04391766,39495
0.09048743,9379
0.1399499,16379
0.0472859,116144
0.04922212,41672
0.18926999,115077
0.06539478,61303
0.09711785,135187
0.04116405,26979
0.51397753,22784
0.10641628,108900
0.06540454,68574
0.0713211,65488
0.21997478,7308
0.19469102,15352
0.082519,112019
0.08187609,64451
0.08433411,137146
0.26984598,14338
0.118246,104784
0.24580522,120371
1.266335460000000,38423
0.21696439,93573
0.15642995,117170
0.05471046,68575
0.09740633,37372
0.04863774,40577
0.04862588,25932
0.45787061,7178
0.11497489,123534
2.184708360000000,79016
0.25272025,83145
0.04163848,131012
0.13521025,6478
0.14097996,99675
0.35827501,116145
0.04582044,70597
3.610011220000000,6530
0.098759,64452
0.16403668,133078
0.75342878,75789
1.263109370000000,118206
0.05066101,81033
0.05248054,136148
0.9904359,9378
0.07169891,102701
5.971977950000000,106853
0.0584518,108901
83.570057210000002,6627
0.08568683,57176
0.04678175,101708
0.08448221,79017
0.11552651,136147
0.70649358,7283
0.31346411,40571
0.10250154,22785
0.134688,113051
0.11674146,47857
6.507444700000000,7400
0.28437854,97650
0.38453586,43782
0.17349472,69580
0.04434572,54149
0.10723475,31118
0.072096,71593
0.05432997,63429
0.08280807,36275
0.17600143,53135
0.5664353,55146
1.089515000000000,6407
0.12482404,30055
0.043,104785
0.261,103751
0.325,30050
0.046,43767
0.072,68577
0.124,60266
0.069,80019
0.087,17410
0.066,56147
0.07,6405
0.067,48901
0.063,36278
0.056,74720
0.067,42729
0.099,54150
0.522,44800
0.08,52061
1.121000000000000,75792
0.229,79019
0.537,110987
0.408,81043
0.043,117172
0.162,121436
0.831,87373
3.556000000000000,100665
0.161,30053
0.077,52062
0.339,7116
0.103,115079
0.061,66533
0.158,103754
0.177,35242
0.04,89463
0.057,79021
0.282,89464
0.047,43771
0.151,38411
0.122,129973
0.416,81037
0.057,96602
0.108,126830
0.04,38412
0.096,27939
0.062,113999
0.043,29002
0.041,58242
0.054,56149
0.094,98678
0.114,129970
0.185,38413
1.230000000000000,100667
0.057,6866
0.042,98679
0.157,120382
0.066,31123
0.105,82095
0.076,76840
0.041,109928
1.211000000000000,6554
0.397,6890
0.047,27940
0.078,16363
0.077,113055
0.058,113056
0.066,71594
0.309,39501
0.049,10242
0.114,34208
1.328000000000000,32195
0.047,35245
0.049,27942
0.376,91491
0.095,100669
0.958,52065
0.12,66535
0.108,26984
0.065,98680
0.09,11264
0.054,6947
0.455,18459
0.091,120374
0.073,61307
0.061,58244
0.092,51002
0.357,76835
0.131,127858
0.229,12304
0.57,52069
0.144,110991
0.113,81041
0.705,106857
0.049,38415
0.085,119271
0.197,64457
0.314,83154
0.053,55153
0.058,45793
0.055,116151
0.471,16364
0.092,73671
0.258,37377
0.25,63432
0.167,132047
0.54,85230
0.046,73674
0.259,79030
0.169,101717
0.064,136139
